INFO [2025-01-31 20:39:27,714] basehttp "GET /static/img/partners/labnutrition-gray.png HTTP/1.1" 200 3350
INFO [2025-01-31 20:39:27,717] basehttp "GET /static/img/partners/sanahoria-gray.png HTTP/1.1" 200 3377
INFO [2025-01-31 20:39:27,719] basehttp "GET /static/img/partners/tech-nutrition-gray.png HTTP/1.1" 200 3164
INFO [2025-01-31 20:39:27,721] basehttp "GET /static/img/partners/organic-fit-gray.png HTTP/1.1" 200 5145
INFO [2025-01-31 20:39:27,726] basehttp "GET /static/img/partners/anden-natural-gray.png HTTP/1.1" 200 2876
INFO [2025-01-31 20:39:27,729] basehttp "GET /static/img/partners/feria-nativa-gray.png HTTP/1.1" 200 3235
INFO [2025-01-31 20:39:27,731] basehttp "GET /static/img/partners/wellness-gray.png HTTP/1.1" 200 2501
INFO [2025-01-31 20:39:27,734] basehttp "GET /static/img/partners/miski-foods-gray.png HTTP/1.1" 200 6562
INFO [2025-01-31 20:39:27,736] basehttp "GET /static/img/partners/molina-gray.png HTTP/1.1" 200 3998
INFO [2025-01-31 20:39:27,805] basehttp "GET /static/img/man-working-out-gym.jpg HTTP/1.1" 200 14430473
INFO [2025-01-31 20:39:27,839] basehttp "GET /static/img/partners/falabella.png HTTP/1.1" 200 3202
INFO [2025-01-31 20:39:27,842] basehttp "GET /static/img/partners/mifarma.png HTTP/1.1" 200 4643
INFO [2025-01-31 20:39:27,845] basehttp "GET /static/img/partners/inkafarma.png HTTP/1.1" 200 7786
INFO [2025-01-31 20:39:27,848] basehttp "GET /static/img/book-claim-icon.png HTTP/1.1" 200 6871
INFO [2025-01-31 20:39:27,952] basehttp "GET /static/fonts/AvenirLTStd-Book.otf HTTP/1.1" 200 27444
INFO [2025-01-31 20:39:27,953] basehttp "GET /static/fonts/ArupalaGrotesk-Bold.otf HTTP/1.1" 200 99900
INFO [2025-01-31 20:39:27,982] basehttp "GET /static/fonts/AvenirLTStd-Heavy.otf HTTP/1.1" 200 27640
INFO [2025-01-31 20:39:27,986] basehttp "GET /static/fonts/ArupalaGrotesk-Ultra.otf HTTP/1.1" 200 94344
INFO [2025-01-31 20:39:27,988] basehttp "GET /static/img/nosotros/nosotros-bg.png HTTP/1.1" 200 649183
INFO [2025-01-31 20:39:28,019] basehttp "GET /static/img/nosotros/bg-productos.png HTTP/1.1" 200 1381728
WARNING [2025-01-31 20:39:29,041] basehttp "GET /static/images/favicon.ico HTTP/1.1" 404 1979
INFO [2025-01-31 20:39:37,033] basehttp "GET /nosotros/ HTTP/1.1" 200 20720
INFO [2025-01-31 20:39:45,202] basehttp "GET /nosotros/ HTTP/1.1" 200 20696
INFO [2025-01-31 20:39:46,296] basehttp "GET /nosotros/ HTTP/1.1" 200 20696
INFO [2025-01-31 20:39:46,522] basehttp "GET /nosotros/ HTTP/1.1" 200 20696
INFO [2025-01-31 20:41:11,200] basehttp "GET /nosotros/ HTTP/1.1" 200 20686
INFO [2025-01-31 20:41:12,145] basehttp "GET /nosotros/ HTTP/1.1" 200 20686
INFO [2025-01-31 20:41:12,242] basehttp "GET /nosotros/ HTTP/1.1" 200 20686
INFO [2025-01-31 20:41:12,399] basehttp "GET /nosotros/ HTTP/1.1" 200 20686
INFO [2025-01-31 20:42:10,177] basehttp "GET /nosotros/ HTTP/1.1" 200 20686
INFO [2025-01-31 20:42:11,646] basehttp "GET /nosotros/ HTTP/1.1" 200 20709
INFO [2025-01-31 20:42:11,697] basehttp "GET /static/js/product/utils.js HTTP/1.1" 200 1426
INFO [2025-01-31 20:42:11,701] basehttp "GET /static/css/style.css HTTP/1.1" 200 25557
INFO [2025-01-31 20:42:11,703] basehttp "GET /media/finniu/images/company/c0a381a7/4a281285.png HTTP/1.1" 200 7698
INFO [2025-01-31 20:42:11,710] basehttp "GET /static/img/nosotros/Wall.png HTTP/1.1" 200 628401
INFO [2025-01-31 20:42:11,749] basehttp "GET /static/img/nosotros/logo1.png HTTP/1.1" 200 35891
INFO [2025-01-31 20:42:11,750] basehttp "GET /static/img/nosotros/logo2.png HTTP/1.1" 200 66209
INFO [2025-01-31 20:42:11,754] basehttp "GET /static/img/partners/mifarma-gray.png HTTP/1.1" 200 2867
INFO [2025-01-31 20:42:11,757] basehttp "GET /static/js/swiper.js HTTP/1.1" 200 446
INFO [2025-01-31 20:42:12,180] basehttp "GET /static/img/partners/inkafarma-gray.png HTTP/1.1" 200 2555
INFO [2025-01-31 20:42:12,184] basehttp "GET /static/img/partners/wong-gray.png HTTP/1.1" 200 1551
INFO [2025-01-31 20:42:12,187] basehttp "GET /static/img/partners/organa-gray.png HTTP/1.1" 200 2636
INFO [2025-01-31 20:42:12,191] basehttp "GET /static/img/partners/selltech-gray.png HTTP/1.1" 200 5924
INFO [2025-01-31 20:42:12,195] basehttp "GET /static/img/partners/kllao-gray.png HTTP/1.1" 200 1443
INFO [2025-01-31 20:42:12,199] basehttp "GET /static/img/partners/labnutrition-gray.png HTTP/1.1" 200 3350
INFO [2025-01-31 20:42:12,202] basehttp "GET /static/img/partners/sanahoria-gray.png HTTP/1.1" 200 3377
INFO [2025-01-31 20:42:12,206] basehttp "GET /static/img/partners/tech-nutrition-gray.png HTTP/1.1" 200 3164
INFO [2025-01-31 20:42:12,210] basehttp "GET /static/img/partners/organic-fit-gray.png HTTP/1.1" 200 5145
INFO [2025-01-31 20:42:12,213] basehttp "GET /static/img/partners/anden-natural-gray.png HTTP/1.1" 200 2876
INFO [2025-01-31 20:42:12,216] basehttp "GET /static/img/partners/feria-nativa-gray.png HTTP/1.1" 200 3235
INFO [2025-01-31 20:42:12,219] basehttp "GET /static/img/partners/wellness-gray.png HTTP/1.1" 200 2501
INFO [2025-01-31 20:42:12,222] basehttp "GET /static/img/partners/miski-foods-gray.png HTTP/1.1" 200 6562
INFO [2025-01-31 20:42:12,225] basehttp "GET /static/img/partners/molina-gray.png HTTP/1.1" 200 3998
INFO [2025-01-31 20:42:12,332] basehttp "GET /static/img/man-working-out-gym.jpg HTTP/1.1" 200 14430473
INFO [2025-01-31 20:42:12,358] basehttp "GET /static/img/partners/falabella.png HTTP/1.1" 200 3202
INFO [2025-01-31 20:42:12,364] basehttp "GET /static/img/partners/mifarma.png HTTP/1.1" 200 4643
INFO [2025-01-31 20:42:12,408] basehttp "GET /static/img/partners/inkafarma.png HTTP/1.1" 200 7786
INFO [2025-01-31 20:42:12,411] basehttp "GET /static/img/book-claim-icon.png HTTP/1.1" 200 6871
INFO [2025-01-31 20:42:12,541] basehttp "GET /static/fonts/AvenirLTStd-Book.otf HTTP/1.1" 200 27444
INFO [2025-01-31 20:42:12,542] basehttp "GET /static/fonts/ArupalaGrotesk-Bold.otf HTTP/1.1" 200 99900
INFO [2025-01-31 20:42:12,599] basehttp "GET /static/fonts/AvenirLTStd-Heavy.otf HTTP/1.1" 200 27640
INFO [2025-01-31 20:42:12,606] basehttp "GET /static/fonts/ArupalaGrotesk-Ultra.otf HTTP/1.1" 200 94344
INFO [2025-01-31 20:42:12,618] basehttp "GET /static/img/nosotros/nosotros-bg.png HTTP/1.1" 200 649183
INFO [2025-01-31 20:42:12,626] basehttp "GET /static/img/nosotros/bg-productos.png HTTP/1.1" 200 1381728
WARNING [2025-01-31 20:42:13,963] basehttp "GET /static/images/favicon.ico HTTP/1.1" 404 1979
INFO [2025-01-31 20:42:46,489] basehttp "GET /nosotros/ HTTP/1.1" 200 20712
INFO [2025-01-31 20:43:14,077] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:39,791] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:40,611] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:41,211] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:42,331] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:42,396] basehttp "GET /media/finniu/images/company/c0a381a7/4a281285.png HTTP/1.1" 200 7698
INFO [2025-01-31 20:43:42,397] basehttp "GET /static/js/product/utils.js HTTP/1.1" 200 1426
INFO [2025-01-31 20:43:42,397] basehttp "GET /static/css/style.css HTTP/1.1" 200 25557
INFO [2025-01-31 20:43:42,402] basehttp "GET /static/img/nosotros/Wall.png HTTP/1.1" 200 628401
INFO [2025-01-31 20:43:42,434] basehttp "GET /static/img/nosotros/logo1.png HTTP/1.1" 200 35891
INFO [2025-01-31 20:43:42,435] basehttp "GET /static/img/nosotros/logo2.png HTTP/1.1" 200 66209
INFO [2025-01-31 20:43:42,438] basehttp "GET /static/img/partners/mifarma-gray.png HTTP/1.1" 200 2867
INFO [2025-01-31 20:43:42,441] basehttp "GET /static/js/swiper.js HTTP/1.1" 200 446
INFO [2025-01-31 20:43:42,754] basehttp "GET /static/img/partners/inkafarma-gray.png HTTP/1.1" 200 2555
INFO [2025-01-31 20:43:42,760] basehttp "GET /static/img/partners/selltech-gray.png HTTP/1.1" 200 5924
INFO [2025-01-31 20:43:42,763] basehttp "GET /static/img/partners/wong-gray.png HTTP/1.1" 200 1551
INFO [2025-01-31 20:43:42,766] basehttp "GET /static/img/partners/organa-gray.png HTTP/1.1" 200 2636
INFO [2025-01-31 20:43:42,777] basehttp "GET /static/img/partners/labnutrition-gray.png HTTP/1.1" 200 3350
INFO [2025-01-31 20:43:42,777] basehttp "GET /static/img/partners/kllao-gray.png HTTP/1.1" 200 1443
INFO [2025-01-31 20:43:42,785] basehttp "GET /static/img/partners/sanahoria-gray.png HTTP/1.1" 200 3377
INFO [2025-01-31 20:43:42,787] basehttp "GET /static/img/partners/organic-fit-gray.png HTTP/1.1" 200 5145
INFO [2025-01-31 20:43:42,789] basehttp "GET /static/img/partners/tech-nutrition-gray.png HTTP/1.1" 200 3164
INFO [2025-01-31 20:43:42,796] basehttp "GET /static/img/partners/anden-natural-gray.png HTTP/1.1" 200 2876
INFO [2025-01-31 20:43:42,798] basehttp "GET /static/img/partners/wellness-gray.png HTTP/1.1" 200 2501
INFO [2025-01-31 20:43:42,798] basehttp "GET /static/img/partners/feria-nativa-gray.png HTTP/1.1" 200 3235
INFO [2025-01-31 20:43:42,805] basehttp "GET /static/img/partners/miski-foods-gray.png HTTP/1.1" 200 6562
INFO [2025-01-31 20:43:42,807] basehttp "GET /static/img/partners/molina-gray.png HTTP/1.1" 200 3998
INFO [2025-01-31 20:43:42,823] basehttp "GET /static/fonts/AvenirLTStd-Book.otf HTTP/1.1" 200 27444
INFO [2025-01-31 20:43:42,832] basehttp "GET /static/img/partners/falabella.png HTTP/1.1" 200 3202
INFO [2025-01-31 20:43:42,833] basehttp "GET /static/img/partners/mifarma.png HTTP/1.1" 200 4643
INFO [2025-01-31 20:43:42,861] basehttp "GET /static/fonts/ArupalaGrotesk-Bold.otf HTTP/1.1" 200 99900
INFO [2025-01-31 20:43:42,864] basehttp "GET /static/fonts/AvenirLTStd-Heavy.otf HTTP/1.1" 200 27640
INFO [2025-01-31 20:43:42,883] basehttp "GET /static/fonts/ArupalaGrotesk-Ultra.otf HTTP/1.1" 200 94344
INFO [2025-01-31 20:43:42,911] basehttp "GET /static/img/partners/inkafarma.png HTTP/1.1" 200 7786
INFO [2025-01-31 20:43:42,916] basehttp "GET /static/img/book-claim-icon.png HTTP/1.1" 200 6871
INFO [2025-01-31 20:43:42,991] basehttp "GET /static/img/nosotros/nosotros-bg.png HTTP/1.1" 200 649183
INFO [2025-01-31 20:43:43,002] basehttp "GET /static/img/nosotros/bg-productos.png HTTP/1.1" 200 1381728
INFO [2025-01-31 20:43:43,118] basehttp "GET /static/img/man-working-out-gym.jpg HTTP/1.1" 200 14430473
WARNING [2025-01-31 20:43:44,092] basehttp "GET /static/images/favicon.ico HTTP/1.1" 404 1979
INFO [2025-01-31 20:43:50,125] basehttp "GET /nosotros/ HTTP/1.1" 200 20718
INFO [2025-01-31 20:43:51,611] basehttp "GET /nosotros/ HTTP/1.1" 200 20695
INFO [2025-01-31 20:43:51,660] basehttp "GET /media/finniu/images/company/c0a381a7/4a281285.png HTTP/1.1" 200 7698
INFO [2025-01-31 20:43:51,661] basehttp "GET /static/css/style.css HTTP/1.1" 200 25557
INFO [2025-01-31 20:43:51,661] basehttp "GET /static/js/product/utils.js HTTP/1.1" 200 1426
INFO [2025-01-31 20:43:51,665] basehttp "GET /static/img/nosotros/Wall.png HTTP/1.1" 200 628401
INFO [2025-01-31 20:43:51,709] basehttp "GET /static/img/nosotros/logo2.png HTTP/1.1" 200 66209
INFO [2025-01-31 20:43:51,710] basehttp "GET /static/img/nosotros/logo1.png HTTP/1.1" 200 35891
INFO [2025-01-31 20:43:51,713] basehttp "GET /static/img/partners/mifarma-gray.png HTTP/1.1" 200 2867
INFO [2025-01-31 20:43:51,716] basehttp "GET /static/js/swiper.js HTTP/1.1" 200 446
INFO [2025-01-31 20:43:51,796] basehttp "GET /static/img/partners/inkafarma-gray.png HTTP/1.1" 200 2555
INFO [2025-01-31 20:43:51,799] basehttp "GET /static/img/partners/wong-gray.png HTTP/1.1" 200 1551
INFO [2025-01-31 20:43:51,802] basehttp "GET /static/img/partners/organa-gray.png HTTP/1.1" 200 2636
INFO [2025-01-31 20:43:51,804] basehttp "GET /static/img/partners/selltech-gray.png HTTP/1.1" 200 5924
INFO [2025-01-31 20:43:51,807] basehttp "GET /static/img/partners/kllao-gray.png HTTP/1.1" 200 1443
INFO [2025-01-31 20:43:51,809] basehttp "GET /static/img/partners/labnutrition-gray.png HTTP/1.1" 200 3350
INFO [2025-01-31 20:43:51,812] basehttp "GET /static/img/partners/sanahoria-gray.png HTTP/1.1" 200 3377
INFO [2025-01-31 20:43:51,814] basehttp "GET /static/img/partners/tech-nutrition-gray.png HTTP/1.1" 200 3164
INFO [2025-01-31 20:43:51,817] basehttp "GET /static/img/partners/organic-fit-gray.png HTTP/1.1" 200 5145
INFO [2025-01-31 20:43:51,860] basehttp "GET /static/img/partners/anden-natural-gray.png HTTP/1.1" 200 2876
INFO [2025-01-31 20:43:51,877] basehttp "GET /static/img/partners/wellness-gray.png HTTP/1.1" 200 2501
INFO [2025-01-31 20:43:51,877] basehttp "GET /static/img/partners/feria-nativa-gray.png HTTP/1.1" 200 3235
INFO [2025-01-31 20:43:51,888] basehttp "GET /static/img/partners/miski-foods-gray.png HTTP/1.1" 200 6562
INFO [2025-01-31 20:43:51,888] basehttp "GET /static/img/partners/mifarma.png HTTP/1.1" 200 4643
INFO [2025-01-31 20:43:51,889] basehttp "GET /static/img/partners/inkafarma.png HTTP/1.1" 200 7786
INFO [2025-01-31 20:43:51,890] basehttp "GET /static/img/partners/molina-gray.png HTTP/1.1" 200 3998
INFO [2025-01-31 20:43:51,890] basehttp "GET /static/img/partners/falabella.png HTTP/1.1" 200 3202
INFO [2025-01-31 20:43:51,896] basehttp "GET /static/img/book-claim-icon.png HTTP/1.1" 200 6871
INFO [2025-01-31 20:43:52,009] basehttp "GET /static/fonts/AvenirLTStd-Book.otf HTTP/1.1" 200 27444
INFO [2025-01-31 20:43:52,012] basehttp "GET /static/fonts/ArupalaGrotesk-Bold.otf HTTP/1.1" 200 99900
INFO [2025-01-31 20:43:52,052] basehttp "GET /static/fonts/AvenirLTStd-Heavy.otf HTTP/1.1" 200 27640
INFO [2025-01-31 20:43:52,055] basehttp "GET /static/fonts/ArupalaGrotesk-Ultra.otf HTTP/1.1" 200 94344
INFO [2025-01-31 20:43:52,077] basehttp "GET /static/img/nosotros/nosotros-bg.png HTTP/1.1" 200 649183
INFO [2025-01-31 20:43:52,078] basehttp "GET /static/img/nosotros/bg-productos.png HTTP/1.1" 200 1381728
INFO [2025-01-31 20:43:52,122] basehttp "GET /static/img/man-working-out-gym.jpg HTTP/1.1" 200 14430473
WARNING [2025-01-31 20:43:52,879] basehttp "GET /static/images/favicon.ico HTTP/1.1" 404 1979
INFO [2025-01-31 20:44:31,014] basehttp "GET /nosotros/ HTTP/1.1" 200 20692
INFO [2025-01-31 20:45:48,642] basehttp "GET /nosotros/ HTTP/1.1" 200 20693
INFO [2025-01-31 20:46:17,833] basehttp "GET /nosotros/ HTTP/1.1" 200 20692
INFO [2025-01-31 20:46:40,447] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:45,927] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:46,689] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:46,859] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:47,065] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:50,823] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:58,190] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:46:59,314] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:47:00,067] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:48:12,369] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:48:18,586] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:48:18,639] basehttp "GET /static/js/product/utils.js HTTP/1.1" 200 1426
INFO [2025-01-31 20:48:18,641] basehttp "GET /static/css/style.css HTTP/1.1" 200 25557
INFO [2025-01-31 20:48:18,642] basehttp "GET /media/finniu/images/company/c0a381a7/4a281285.png HTTP/1.1" 200 7698
INFO [2025-01-31 20:48:18,646] basehttp "GET /static/img/nosotros/Wall.png HTTP/1.1" 200 628401
INFO [2025-01-31 20:48:18,662] basehttp "GET /static/img/nosotros/logo1.png HTTP/1.1" 200 35891
INFO [2025-01-31 20:48:18,668] basehttp "GET /static/img/partners/mifarma-gray.png HTTP/1.1" 200 2867
INFO [2025-01-31 20:48:18,668] basehttp "GET /static/img/nosotros/logo2.png HTTP/1.1" 200 66209
INFO [2025-01-31 20:48:18,672] basehttp "GET /static/js/swiper.js HTTP/1.1" 200 446
INFO [2025-01-31 20:48:18,850] basehttp "GET /static/img/partners/inkafarma-gray.png HTTP/1.1" 200 2555
INFO [2025-01-31 20:48:18,876] basehttp "GET /static/img/partners/organa-gray.png HTTP/1.1" 200 2636
INFO [2025-01-31 20:48:18,877] basehttp "GET /static/img/partners/wong-gray.png HTTP/1.1" 200 1551
INFO [2025-01-31 20:48:18,883] basehttp "GET /static/img/partners/sanahoria-gray.png HTTP/1.1" 200 3377
INFO [2025-01-31 20:48:18,884] basehttp "GET /static/img/partners/tech-nutrition-gray.png HTTP/1.1" 200 3164
INFO [2025-01-31 20:48:18,886] basehttp "GET /static/img/partners/kllao-gray.png HTTP/1.1" 200 1443
INFO [2025-01-31 20:48:18,887] basehttp "GET /static/img/partners/selltech-gray.png HTTP/1.1" 200 5924
INFO [2025-01-31 20:48:18,887] basehttp "GET /static/img/partners/labnutrition-gray.png HTTP/1.1" 200 3350
INFO [2025-01-31 20:48:18,888] basehttp "GET /static/img/partners/organic-fit-gray.png HTTP/1.1" 200 5145
INFO [2025-01-31 20:48:18,889] basehttp "GET /static/img/partners/anden-natural-gray.png HTTP/1.1" 200 2876
INFO [2025-01-31 20:48:18,891] basehttp "GET /static/img/partners/feria-nativa-gray.png HTTP/1.1" 200 3235
INFO [2025-01-31 20:48:18,892] basehttp "GET /static/img/partners/wellness-gray.png HTTP/1.1" 200 2501
INFO [2025-01-31 20:48:18,893] basehttp "GET /static/img/partners/molina-gray.png HTTP/1.1" 200 3998
INFO [2025-01-31 20:48:18,895] basehttp "GET /static/img/partners/miski-foods-gray.png HTTP/1.1" 200 6562
INFO [2025-01-31 20:48:18,898] basehttp "GET /static/img/partners/inkafarma.png HTTP/1.1" 200 7786
INFO [2025-01-31 20:48:18,898] basehttp "GET /static/img/partners/mifarma.png HTTP/1.1" 200 4643
INFO [2025-01-31 20:48:18,898] basehttp "GET /static/img/partners/falabella.png HTTP/1.1" 200 3202
INFO [2025-01-31 20:48:18,902] basehttp "GET /static/img/book-claim-icon.png HTTP/1.1" 200 20120
INFO [2025-01-31 20:48:18,935] basehttp "GET /static/fonts/AvenirLTStd-Book.otf HTTP/1.1" 200 27444
INFO [2025-01-31 20:48:18,950] basehttp "GET /static/fonts/ArupalaGrotesk-Bold.otf HTTP/1.1" 200 99900
INFO [2025-01-31 20:48:18,971] basehttp "GET /static/fonts/AvenirLTStd-Black.otf HTTP/1.1" 200 27912
INFO [2025-01-31 20:48:18,979] basehttp "GET /static/fonts/ArupalaGrotesk-Ultra.otf HTTP/1.1" 200 94344
INFO [2025-01-31 20:48:18,981] basehttp "GET /static/fonts/AvenirLTStd-Heavy.otf HTTP/1.1" 200 27640
INFO [2025-01-31 20:48:18,996] basehttp "GET /static/img/nosotros/nosotros-bg.png HTTP/1.1" 200 649183
INFO [2025-01-31 20:48:19,003] basehttp "GET /static/img/nosotros/bg-productos.png HTTP/1.1" 200 1381728
INFO [2025-01-31 20:48:19,035] basehttp "GET /static/img/man-working-out-gym.jpg HTTP/1.1" 200 14430473
WARNING [2025-01-31 20:48:20,110] basehttp "GET /static/images/favicon.ico HTTP/1.1" 404 1979
INFO [2025-01-31 20:48:21,731] basehttp "GET /nosotros/ HTTP/1.1" 200 20699
INFO [2025-01-31 20:48:21,771] basehttp "GET /static/js/product/utils.js HTTP/1.1" 200 1426
